0,1,2,3,4,5,6,7,8,9,10
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
yogurt,citrus fruit,ice cream,soups,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
beef,root vegetables,,,,,,,,,
chicken,cream cheese ,napkins,,,,,,,,
domestic eggs,processed cheese,whole milk,bottled water,,,,,,,
specialty chocolate,citrus fruit,UHT-milk,frozen meals,,,,,,,
pork,specialty chocolate,,,,,,,,,
brown bread,pip fruit,,,,,,,,,
rolls/buns,rolls/buns,sugar,,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,
pork,tropical fruit,whole milk,chewing gum,,,,,,,
butter milk,rolls/buns,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
brown bread,frozen dessert,,,,,,,,,
root vegetables,sugar,,,,,,,,,
white bread,frozen vegetables,soda,,,,,,,,
frankfurter,whole milk,other vegetables,root vegetables,,,,,,,
citrus fruit,canned beer,hygiene articles,chicken,whole milk,napkins,white wine,UHT-milk,shopping bags,,
hygiene articles,chicken,,,,,,,,,
beverages,tropical fruit,ham,flour,,,,,,,
UHT-milk,salt,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
ham,flour,whipped/sour cream,,,,,,,,
flower soil/fertilizer,waffles,,,,,,,,,
turkey,rolls/buns,,,,,,,,,
citrus fruit,Instant food products,,,,,,,,,
chewing gum,frozen vegetables,,,,,,,,,
frozen meals,yogurt,,,,,,,,,
tropical fruit,brown bread,whole milk,,,,,,,,
other vegetables,brown bread,bottled water,specialty bar,,,,,,,
margarine,whole milk,white bread,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
UHT-milk,other vegetables,cake bar,,,,,,,,
sausage,white wine,,,,,,,,,
sausage,whole milk,bottled water,,,,,,,,
other vegetables,soda,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
shopping bags,whole milk,cling film/bags,bottled beer,newspapers,,,,,,
onions,flour,,,,,,,,,
soda,candles,rolls/buns,,,,,,,,
newspapers,roll products ,,,,,,,,,
white wine,ham,whole milk,coffee,bottled water,,,,,,
pastry,other vegetables,,,,,,,,,
dessert,fruit/vegetable juice,napkins,,,,,,,,
citrus fruit,brown bread,ketchup,,,,,,,,
whole milk,cleaner,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
soda,pastry,frozen vegetables,UHT-milk,,,,,,,
tropical fruit,coffee,newspapers,,,,,,,,
soda,beef,other vegetables,semi-finished bread,shopping bags,white wine,,,,,
chicken,butter,,,,,,,,,
beef,ham,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
misc. beverages,bottled beer,other vegetables,cream cheese ,,,,,,,
brown bread,pastry,,,,,,,,,
finished products,curd cheese,,,,,,,,,
whole milk,margarine,,,,,,,,,
sausage,fruit/vegetable juice,chewing gum,,,,,,,,
meat,rolls/buns,,,,,,,,,
beef,mayonnaise,,,,,,,,,
mayonnaise,curd,,,,,,,,,
herbs,newspapers,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
meat,other vegetables,,,,,,,,,
pip fruit,yogurt,flour,rolls/buns,,,,,,,
bottled beer,dishes,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
soda,coffee,cling film/bags,,,,,,,,
frozen fish,rolls/buns,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
berries,pastry,,,,,,,,,
pork,frozen meals,margarine,dessert,,,,,,,
bottled beer,other vegetables,,,,,,,,,
sausage,newspapers,,,,,,,,,
pip fruit,processed cheese,canned beer,,,,,,,,
citrus fruit,salty snack,,,,,,,,,
soda,shopping bags,napkins,,,,,,,,
other vegetables,whole milk,,,,,,,,,
ready soups,baking powder,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
candles,rolls/buns,other vegetables,rolls/buns,,,,,,,
yogurt,specialty vegetables,,,,,,,,,
dessert,packaged fruit/vegetables,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
pip fruit,canned beer,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
curd,UHT-milk,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
frankfurter,specialty chocolate,brown bread,herbs,rolls/buns,,,,,,
rolls/buns,other vegetables,soda,chocolate,,,,,,,
frankfurter,ice cream,specialty cheese,coffee,,,,,,,
yogurt,yogurt,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
pastry,syrup,,,,,,,,,
tropical fruit,butter,,,,,,,,,
rolls/buns,detergent,shopping bags,,,,,,,,
meat,salt,,,,,,,,,
frozen dessert,soda,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
pork,long life bakery product,,,,,,,,,
berries,other vegetables,fruit/vegetable juice,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
rum,onions,,,,,,,,,
frankfurter,citrus fruit,newspapers,,,,,,,,
bottled water,pastry,,,,,,,,,
yogurt,rolls/buns,soda,,,,,,,,
mayonnaise,frozen vegetables,processed cheese,,,,,,,,
packaged fruit/vegetables,rolls/buns,domestic eggs,,,,,,,,
butter milk,root vegetables,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
hamburger meat,salty snack,,,,,,,,,
sausage,frankfurter,other vegetables,bottled water,,,,,,,
grapes,whole milk,,,,,,,,,
canned beer,berries,male cosmetics,fruit/vegetable juice,,,,,,,
hamburger meat,berries,liquor,cream cheese ,,,,,,,
rolls/buns,whole milk,semi-finished bread,processed cheese,,,,,,,
pip fruit,rolls/buns,soda,,,,,,,,
finished products,other vegetables,misc. beverages,coffee,rolls/buns,,,,,,
root vegetables,hygiene articles,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
root vegetables,bottled beer,newspapers,margarine,domestic eggs,shopping bags,,,,,
citrus fruit,grapes,bottled water,,,,,,,,
pork,frozen vegetables,,,,,,,,,
hamburger meat,salt,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
root vegetables,coffee,,,,,,,,,
tropical fruit,herbs,long life bakery product,,,,,,,,
frozen meals,bottled beer,,,,,,,,,
sugar,popcorn,baking powder,,,,,,,,
yogurt,other vegetables,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
soda,beef,beef,rolls/buns,shopping bags,chocolate,processed cheese,brown bread,dessert,,
napkins,photo/film,,,,,,,,,
other vegetables,other vegetables,frozen dessert,waffles,soda,,,,,,
tropical fruit,other vegetables,,,,,,,,,
bottled beer,soda,,,,,,,,,
sausage,dessert,,,,,,,,,
hamburger meat,white bread,,,,,,,,,
ham,berries,,,,,,,,,
frankfurter,coffee,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
soda,dish cleaner,,,,,,,,,
sausage,butter,,,,,,,,,
napkins,whipped/sour cream,,,,,,,,,
yogurt,pastry,,,,,,,,,
tropical fruit,tropical fruit,tropical fruit,long life bakery product,soda,,,,,,
soda,long life bakery product,pastry,,,,,,,,
shopping bags,yogurt,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,oil,,,,,,,,,
Instant food products,specialty chocolate,,,,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
pork,yogurt,,,,,,,,,
canned fish,cream cheese ,,,,,,,,,
other vegetables,meat spreads,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
bottled water,long life bakery product,root vegetables,mustard,,,,,,,
meat,rum,,,,,,,,,
bottled beer,processed cheese,,,,,,,,,
sausage,softener,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
pork,pickled vegetables,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
citrus fruit,pastry,salt,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
pip fruit,other vegetables,whole milk,whipped/sour cream,,,,,,,
butter milk,hard cheese,,,,,,,,,
specialty chocolate,sugar,domestic eggs,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
bottled water,sliced cheese,,,,,,,,,
whole milk,hair spray,waffles,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
canned beer,margarine,chocolate,,,,,,,,
waffles,napkins,,,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
sparkling wine,soda,,,,,,,,,
meat,ice cream,,,,,,,,,
UHT-milk,candles,yogurt,salty snack,,,,,,,
frankfurter,bottled water,pickled vegetables,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
curd,long life bakery product,,,,,,,,,
pork,whole milk,,,,,,,,,
canned fish,yogurt,napkins,,,,,,,,
sparkling wine,chocolate,,,,,,,,,
cream cheese ,yogurt,whipped/sour cream,,,,,,,,
bottled water,beef,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
cat food,newspapers,fruit/vegetable juice,,,,,,,,
bottled water,liquor (appetizer),,,,,,,,,
tropical fruit,frozen fruits,,,,,,,,,
chicken,whole milk,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,
yogurt,pastry,bottled water,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
soda,whole milk,,,,,,,,,
canned beer,rolls/buns,softener,,,,,,,,
pickled vegetables,canned beer,,,,,,,,,
soda,soda,roll products ,,,,,,,,
hard cheese,shopping bags,,,,,,,,,
rolls/buns,semi-finished bread,,,,,,,,,
white bread,napkins,,,,,,,,,
specialty chocolate,butter milk,,,,,,,,,
rolls/buns,whole milk,shopping bags,,,,,,,,
waffles,salty snack,hard cheese,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
rolls/buns,tropical fruit,bottled beer,UHT-milk,newspapers,,,,,,
other vegetables,rice,specialty fat,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sausage,chocolate,semi-finished bread,whole milk,rum,bottled beer,,,,,
citrus fruit,soda,,,,,,,,,
hamburger meat,ice cream,chocolate,curd,,,,,,,
curd,yogurt,,,,,,,,,
sausage,onions,,,,,,,,,
canned beer,soda,newspapers,,,,,,,,
white wine,rolls/buns,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
curd,canned beer,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
bottled water,pastry,specialty bar,herbs,,,,,,,
citrus fruit,newspapers,shopping bags,,,,,,,,
frozen vegetables,yogurt,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
condensed milk,margarine,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
chicken,whole milk,,,,,,,,,
other vegetables,beef,tropical fruit,brown bread,cat food,,,,,,
ice cream,flower (seeds),,,,,,,,,
fish,fruit/vegetable juice,,,,,,,,,
salty snack,frozen vegetables,,,,,,,,,
margarine,yogurt,,,,,,,,,
sausage,hamburger meat,,,,,,,,,
frozen vegetables,rice,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
sausage,whole milk,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
ice cream,grapes,,,,,,,,,
newspapers,zwieback,,,,,,,,,
coffee,misc. beverages,,,,,,,,,
beef,ice cream,other vegetables,,,,,,,,
bottled beer,domestic eggs,brown bread,chewing gum,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
brown bread,curd,,,,,,,,,
frozen potato products,detergent,,,,,,,,,
beef,pastry,,,,,,,,,
rolls/buns,soda,soda,flower (seeds),,,,,,,
root vegetables,whipped/sour cream,chocolate,,,,,,,,
pork,whole milk,,,,,,,,,
pastry,whole milk,,,,,,,,,
beef,rum,brown bread,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,other vegetables,,,,,,,,,
chewing gum,whole milk,bottled beer,ready soups,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
baking powder,frozen potato products,,,,,,,,,
pastry,cereals,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
citrus fruit,grapes,,,,,,,,,
bottled water,whisky,,,,,,,,,
brown bread,bottled beer,,,,,,,,,
butter milk,ham,whole milk,chicken,domestic eggs,shopping bags,chewing gum,shopping bags,white bread,,
shopping bags,specialty chocolate,,,,,,,,,
beef,root vegetables,,,,,,,,,
whole milk,butter milk,,,,,,,,,
curd,tropical fruit,,,,,,,,,
pasta,tropical fruit,,,,,,,,,
beef,domestic eggs,pastry,,,,,,,,
rolls/buns,yogurt,fruit/vegetable juice,,,,,,,,
bottled water,butter milk,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
shopping bags,cream cheese ,cream cheese ,,,,,,,,
frozen meals,pickled vegetables,,,,,,,,,
onions,tropical fruit,shopping bags,other vegetables,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
sweet spreads,butter,,,,,,,,,
beef,female sanitary products,,,,,,,,,
misc. beverages,pip fruit,,,,,,,,,
whole milk,butter,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
dish cleaner,rolls/buns,frozen potato products,frozen vegetables,,,,,,,
chocolate,soda,,,,,,,,,
curd,whole milk,red/blush wine,,,,,,,,
nuts/prunes,onions,,,,,,,,,
brown bread,margarine,,,,,,,,,
pip fruit,butter,,,,,,,,,
pastry,whole milk,,,,,,,,,
soda,oil,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
curd cheese,canned beer,,,,,,,,,
whole milk,bottled beer,UHT-milk,beef,pip fruit,yogurt,salty snack,,,,
frozen vegetables,rolls/buns,cling film/bags,,,,,,,,
seasonal products,whole milk,,,,,,,,,
whole milk,soda,soda,,,,,,,,
other vegetables,pip fruit,chocolate,,,,,,,,
whole milk,flour,whole milk,margarine,,,,,,,
long life bakery product,newspapers,,,,,,,,,
frozen potato products,soda,,,,,,,,,
root vegetables,napkins,,,,,,,,,
pot plants,grapes,brown bread,other vegetables,kitchen towels,,,,,,
meat,other vegetables,chewing gum,,,,,,,,
bottled water,bottled beer,,,,,,,,,
sausage,bottled water,,,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
other vegetables,dishes,,,,,,,,,
pork,liquor,,,,,,,,,
newspapers,whipped/sour cream,,,,,,,,,
meat spreads,shopping bags,,,,,,,,,
domestic eggs,soda,,,,,,,,,
coffee,butter milk,,,,,,,,,
pip fruit,waffles,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
photo/film,beverages,bottled beer,,,,,,,,
canned beer,newspapers,,,,,,,,,
organic sausage,herbs,,,,,,,,,
cling film/bags,ham,,,,,,,,,
curd,pip fruit,,,,,,,,,
rolls/buns,mayonnaise,,,,,,,,,
other vegetables,other vegetables,liquor (appetizer),specialty bar,candles,red/blush wine,,,,,
citrus fruit,waffles,,,,,,,,,
ice cream,newspapers,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
canned beer,ham,bottled water,domestic eggs,,,,,,,
pickled vegetables,Instant food products,,,,,,,,,
pot plants,liquor (appetizer),,,,,,,,,
tropical fruit,grapes,sugar,,,,,,,,
bottled water,margarine,,,,,,,,,
chicken,whole milk,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
onions,butter,,,,,,,,,
frankfurter,pork,pastry,canned vegetables,,,,,,,
hamburger meat,pip fruit,rolls/buns,dishes,,,,,,,
tropical fruit,cooking chocolate,,,,,,,,,
bottled water,processed cheese,,,,,,,,,
coffee,UHT-milk,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
pastry,soda,pastry,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
rolls/buns,brown bread,whole milk,pasta,curd,butter milk,,,,,
pip fruit,dessert,sauces,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
yogurt,dog food,,,,,,,,,
frankfurter,chocolate,,,,,,,,,
sausage,Instant food products,,,,,,,,,
root vegetables,pastry,,,,,,,,,
sweet spreads,margarine,,,,,,,,,
other vegetables,beverages,,,,,,,,,
pip fruit,cream cheese ,,,,,,,,,
soda,margarine,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
citrus fruit,beef,,,,,,,,,
sausage,berries,,,,,,,,,
sugar,candy,,,,,,,,,
coffee,dishes,,,,,,,,,
flower (seeds),whipped/sour cream,specialty chocolate,bottled water,,,,,,,
whole milk,soda,,,,,,,,,
oil,bottled water,oil,,,,,,,,
root vegetables,bottled water,,,,,,,,,
ham,bottled beer,,,,,,,,,
onions,long life bakery product,,,,,,,,,
root vegetables,grapes,,,,,,,,,
pet care,chocolate,,,,,,,,,
turkey,whipped/sour cream,butter,,,,,,,,
chicken,yogurt,,,,,,,,,
cream cheese ,meat,rolls/buns,yogurt,frozen meals,whipped/sour cream,,,,,
other vegetables,root vegetables,pastry,margarine,,,,,,,
frankfurter,dessert,,,,,,,,,
citrus fruit,specialty chocolate,,,,,,,,,
margarine,sugar,,,,,,,,,
onions,coffee,,,,,,,,,
cream cheese ,toilet cleaner,,,,,,,,,
root vegetables,flour,female sanitary products,packaged fruit/vegetables,brown bread,rolls/buns,rolls/buns,sauces,,,
yogurt,grapes,,,,,,,,,
other vegetables,rolls/buns,bottled water,soda,,,,,,,
frankfurter,root vegetables,pastry,napkins,long life bakery product,,,,,,
citrus fruit,pip fruit,,,,,,,,,
processed cheese,other vegetables,,,,,,,,,
frankfurter,citrus fruit,bottled water,fruit/vegetable juice,,,,,,,
hygiene articles,dessert,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
soft cheese,flower (seeds),,,,,,,,,
butter milk,root vegetables,,,,,,,,,
onions,soda,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
whipped/sour cream,specialty bar,,,,,,,,,
rolls/buns,curd,,,,,,,,,
candy,specialty fat,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
sugar,other vegetables,,,,,,,,,
soda,snack products,,,,,,,,,
other vegetables,semi-finished bread,shopping bags,,,,,,,,
frankfurter,ice cream,,,,,,,,,
other vegetables,other vegetables,butter,,,,,,,,
tropical fruit,long life bakery product,napkins,,,,,,,,
root vegetables,ham,butter,brown bread,pastry,spread cheese,,,,,
bottled water,chocolate,,,,,,,,,
grapes,whole milk,,,,,,,,,
other vegetables,dessert,,,,,,,,,
coffee,brown bread,,,,,,,,,
beef,chocolate,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
shopping bags,whipped/sour cream,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
ham,berries,,,,,,,,,
butter,frozen dessert,whole milk,,,,,,,,
chicken,herbs,soda,,,,,,,,
soda,frozen meals,liquor (appetizer),specialty chocolate,,,,,,,
liquor,hard cheese,,,,,,,,,
whole milk,dessert,,,,,,,,,
yogurt,tidbits,,,,,,,,,
curd,cream cheese ,nut snack,chocolate marshmallow,yogurt,female sanitary products,,,,,
pickled vegetables,soda,,,,,,,,,
brown bread,UHT-milk,beef,red/blush wine,brown bread,rolls/buns,pickled vegetables,,,,
beef,white wine,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
ham,roll products ,brown bread,,,,,,,,
other vegetables,margarine,,,,,,,,,
sausage,soda,pastry,flower (seeds),newspapers,,,,,,
frankfurter,sliced cheese,sugar,,,,,,,,
pet care,whole milk,,,,,,,,,
brown bread,ketchup,soda,,,,,,,,
beef,ham,,,,,,,,,
meat,frozen vegetables,other vegetables,,,,,,,,
root vegetables,white bread,meat spreads,,,,,,,,
rolls/buns,shopping bags,whole milk,,,,,,,,
ham,processed cheese,,,,,,,,,
sausage,other vegetables,other vegetables,butter milk,,,,,,,
ham,specialty bar,,,,,,,,,
shopping bags,hygiene articles,,,,,,,,,
pork,pastry,,,,,,,,,
sausage,salty snack,,,,,,,,,
bottled beer,other vegetables,butter,,,,,,,,
sausage,butter,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
pot plants,yogurt,cream cheese ,,,,,,,,
onions,newspapers,newspapers,,,,,,,,
whole milk,canned beer,processed cheese,,,,,,,,
pork,sweet spreads,,,,,,,,,
bottled water,specialty bar,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
frankfurter,whole milk,grapes,butter,semi-finished bread,,,,,,
soda,yogurt,,,,,,,,,
finished products,cream cheese ,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
root vegetables,salt,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
canned beer,root vegetables,pudding powder,processed cheese,,,,,,,
sausage,dishes,rum,,,,,,,,
shopping bags,condensed milk,,,,,,,,,
processed cheese,hamburger meat,whole milk,,,,,,,,
brown bread,chocolate,,,,,,,,,
butter milk,long life bakery product,,,,,,,,,
ice cream,Instant food products,long life bakery product,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
herbs,yogurt,newspapers,,,,,,,,
whole milk,root vegetables,rolls/buns,yogurt,onions,coffee,napkins,UHT-milk,,,
white bread,coffee,,,,,,,,,
bottled water,salty snack,,,,,,,,,
soda,margarine,specialty chocolate,,,,,,,,
rolls/buns,tidbits,margarine,,,,,,,,
frozen meals,canned beer,,,,,,,,,
beef,fruit/vegetable juice,yogurt,,,,,,,,
pork,shopping bags,hygiene articles,,,,,,,,
beef,salt,,,,,,,,,
liver loaf,soda,,,,,,,,,
pork,tea,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
tropical fruit,turkey,salty snack,,,,,,,,
chicken,tropical fruit,rolls/buns,liquor,,,,,,,
canned beer,coffee,,,,,,,,,
sugar,whole milk,,,,,,,,,
newspapers,bottled beer,,,,,,,,,
sausage,soda,,,,,,,,,
UHT-milk,butter milk,frozen vegetables,other vegetables,candy,fruit/vegetable juice,,,,,
chicken,coffee,,,,,,,,,
dessert,other vegetables,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
white wine,whole milk,,,,,,,,,
berries,rolls/buns,,,,,,,,,
whole milk,hard cheese,candles,bottled beer,shopping bags,jam,,,,,
tropical fruit,snack products,,,,,,,,,
cat food,semi-finished bread,,,,,,,,,
canned beer,tropical fruit,pet care,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
brown bread,waffles,,,,,,,,,
beverages,sugar,,,,,,,,,
chocolate,waffles,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
pip fruit,skin care,,,,,,,,,
pip fruit,frozen vegetables,abrasive cleaner,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
root vegetables,root vegetables,white wine,whipped/sour cream,abrasive cleaner,soda,,,,,
citrus fruit,ice cream,butter,shopping bags,,,,,,,
pastry,bottled water,candles,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
pastry,shopping bags,,,,,,,,,
rolls/buns,butter,,,,,,,,,
whole milk,baking powder,newspapers,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
root vegetables,rice,,,,,,,,,
nuts/prunes,whole milk,,,,,,,,,
waffles,butter milk,domestic eggs,,,,,,,,
berries,long life bakery product,,,,,,,,,
brown bread,pasta,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
pastry,bottled beer,,,,,,,,,
flour,pastry,,,,,,,,,
citrus fruit,herbs,pudding powder,,,,,,,,
sausage,pork,pip fruit,other vegetables,hard cheese,,,,,,
whole milk,rolls/buns,,,,,,,,,
pip fruit,tropical fruit,,,,,,,,,
ham,beef,bottled water,citrus fruit,dishes,,,,,,
pip fruit,soda,,,,,,,,,
bottled beer,citrus fruit,shopping bags,,,,,,,,
make up remover,shopping bags,,,,,,,,,
photo/film,whole milk,yogurt,whole milk,white bread,pot plants,dessert,,,,
pastry,liquor,shopping bags,,,,,,,,
pastry,margarine,pastry,pastry,,,,,,,
tropical fruit,pastry,,,,,,,,,
frankfurter,dog food,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
whole milk,frozen dessert,popcorn,,,,,,,,
specialty chocolate,onions,,,,,,,,,
pip fruit,chocolate,,,,,,,,,
meat,bottled water,soda,,,,,,,,
tropical fruit,soda,,,,,,,,,
pastry,meat,,,,,,,,,
grapes,other vegetables,,,,,,,,,
misc. beverages,citrus fruit,napkins,,,,,,,,
pip fruit,liver loaf,root vegetables,rolls/buns,mayonnaise,curd,root vegetables,hard cheese,chocolate,,
bottled water,whole milk,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pork,salty snack,,,,,,,,,
butter,specialty bar,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
coffee,turkey,margarine,hard cheese,,,,,,,
root vegetables,coffee,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
roll products ,canned vegetables,,,,,,,,,
soda,margarine,,,,,,,,,
beef,other vegetables,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
pastry,grapes,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
frankfurter,sausage,packaged fruit/vegetables,yogurt,bottled beer,shopping bags,,,,,
berries,beverages,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
frankfurter,cream cheese ,yogurt,baking powder,,,,,,,
hamburger meat,tidbits,,,,,,,,,
rolls/buns,tropical fruit,root vegetables,condensed milk,,,,,,,
butter,butter milk,canned beer,UHT-milk,brown bread,baking powder,long life bakery product,,,,
sausage,bottled beer,sliced cheese,,,,,,,,
sausage,grapes,sliced cheese,napkins,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
misc. beverages,bottled water,,,,,,,,,
frankfurter,rolls/buns,bottled beer,other vegetables,yogurt,soups,yogurt,UHT-milk,,,
soda,yogurt,,,,,,,,,
bottled beer,red/blush wine,,,,,,,,,
frozen vegetables,dishes,root vegetables,pastry,,,,,,,
herbs,sugar,,,,,,,,,
frozen meals,beef,,,,,,,,,
bottled water,brown bread,,,,,,,,,
napkins,photo/film,,,,,,,,,
rolls/buns,sausage,whole milk,pastry,yogurt,dessert,curd,yogurt,,,
canned beer,flour,,,,,,,,,
frankfurter,sliced cheese,butter,,,,,,,,
whipped/sour cream,sugar,brown bread,,,,,,,,
canned beer,fish,,,,,,,,,
rolls/buns,frankfurter,soda,canned fish,,,,,,,
whole milk,frozen fish,,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
berries,shopping bags,,,,,,,,,
rolls/buns,specialty chocolate,napkins,,,,,,,,
packaged fruit/vegetables,whole milk,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
berries,bottled beer,,,,,,,,,
root vegetables,coffee,,,,,,,,,
curd,yogurt,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
citrus fruit,ham,onions,yogurt,pasta,newspapers,,,,,
rolls/buns,instant coffee,,,,,,,,,
canned vegetables,dental care,,,,,,,,,
yogurt,pastry,,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
canned beer,pastry,,,,,,,,,
whole milk,newspapers,bottled water,,,,,,,,
whole milk,spread cheese,popcorn,,,,,,,,
ham,bottled beer,,,,,,,,,
other vegetables,soda,,,,,,,,,
shopping bags,tropical fruit,red/blush wine,,,,,,,,
frozen meals,pip fruit,dish cleaner,processed cheese,,,,,,,
cream cheese ,chocolate,,,,,,,,,
sausage,pastry,,,,,,,,,
misc. beverages,oil,,,,,,,,,
ham,chicken,canned beer,other vegetables,napkins,,,,,,
newspapers,red/blush wine,,,,,,,,,
UHT-milk,canned fish,,,,,,,,,
